prefix,updates,avg_path_len,max_path_len,min_path_len,unique_origins,suspicious
1.7.220.0,19,4.368421052631579,5,3,1,False
1.7.224.0,19,4.368421052631579,5,3,1,False
1.7.228.0,19,4.368421052631579,5,3,1,False
1.7.230.0,18,4.333333333333333,5,3,1,False
1.7.231.0,19,4.368421052631579,5,3,1,False
1.7.232.0,19,4.368421052631579,5,3,1,False
1.7.236.0,19,4.368421052631579,5,3,1,False
1.7.8.0,18,4.333333333333333,5,3,1,False
1.72.0.0,1,4.0,4,4,1,False
1.72.4.0,1,4.0,4,4,1,False
1.72.6.0,1,4.0,4,4,1,False
1.72.8.0,1,4.0,4,4,1,False
1.75.0.0,1,4.0,4,4,1,False
1.75.196.0,1,4.0,4,4,1,False
1.75.208.0,1,4.0,4,4,1,False
1.75.212.0,1,4.0,4,4,1,False
1.75.230.0,1,4.0,4,4,1,False
1.75.232.0,1,4.0,4,4,1,False
1.75.238.0,1,4.0,4,4,1,False
1.75.240.0,1,4.0,4,4,1,False
1.75.244.0,1,4.0,4,4,1,False
1.75.248.0,1,4.0,4,4,1,False
1.75.4.0,1,4.0,4,4,1,False
1.75.8.0,1,4.0,4,4,1,False
1.78.0.0,1,4.0,4,4,1,False
1.78.12.0,1,4.0,4,4,1,False
1.78.16.0,1,4.0,4,4,1,False
1.78.24.0,1,4.0,4,4,1,False
1.78.28.0,1,4.0,4,4,1,False
1.78.32.0,1,4.0,4,4,1,False
1.78.36.0,1,4.0,4,4,1,False
1.78.4.0,1,4.0,4,4,1,False
1.78.40.0,1,4.0,4,4,1,False
1.78.8.0,1,4.0,4,4,1,False
1.79.12.0,1,4.0,4,4,1,False
1.79.16.0,1,4.0,4,4,1,False
1.79.22.0,1,4.0,4,4,1,False
1.79.24.0,1,4.0,4,4,1,False
1.79.28.0,1,4.0,4,4,1,False
1.79.32.0,1,4.0,4,4,1,False
1.79.36.0,1,4.0,4,4,1,False
1.79.6.0,1,4.0,4,4,1,False
1.79.66.0,1,4.0,4,4,1,False
1.79.68.0,1,4.0,4,4,1,False
1.79.72.0,1,4.0,4,4,1,False
1.79.74.0,1,4.0,4,4,1,False
1.79.76.0,1,4.0,4,4,1,False
1.79.8.0,1,4.0,4,4,1,False
1.79.80.0,1,4.0,4,4,1,False
1.79.82.0,1,4.0,4,4,1,False
1.79.84.0,1,4.0,4,4,1,False
1.79.88.0,1,4.0,4,4,1,False
101.1.55.0,1,4.0,4,4,1,False
101.102.0.0,1,4.0,4,4,1,False
101.112.0.0,130,5.8307692307692305,8,4,1,False
101.112.128.0,82,5.804878048780488,8,4,1,False
101.112.160.0,45,5.822222222222222,8,4,1,False
101.112.192.0,89,5.831460674157303,8,4,1,False
101.112.224.0,48,5.916666666666667,9,4,1,False
101.112.32.0,45,5.822222222222222,8,4,1,False
101.112.64.0,82,5.804878048780488,8,4,1,False
101.112.96.0,45,5.822222222222222,8,4,1,False
101.113.0.0,89,5.831460674157303,8,4,1,False
101.113.128.0,89,5.831460674157303,8,4,1,False
101.113.160.0,48,5.875,8,4,1,False
101.113.192.0,88,5.818181818181818,8,4,1,False
101.113.224.0,48,5.875,8,4,1,False
101.113.32.0,48,5.916666666666667,9,4,1,False
101.113.64.0,89,5.831460674157303,8,4,1,False
101.113.96.0,48,5.916666666666667,9,4,1,False
101.114.0.0,88,5.840909090909091,9,4,1,False
101.114.128.0,87,5.862068965517241,8,4,1,False
101.114.160.0,42,5.880952380952381,8,4,1,False
101.114.192.0,87,5.862068965517241,8,4,1,False
101.114.224.0,42,5.880952380952381,8,4,1,False
101.114.32.0,48,5.916666666666667,9,4,1,False
101.114.64.0,88,5.840909090909091,9,4,1,False
101.114.96.0,48,5.916666666666667,9,4,1,False
101.115.0.0,98,5.938775510204081,9,4,1,False
101.115.128.0,92,5.913043478260869,9,4,1,False
101.115.136.0,46,5.956521739130435,9,4,1,False
101.115.144.0,92,5.913043478260869,9,4,1,False
101.115.152.0,46,5.956521739130435,9,4,1,False
101.115.16.0,98,5.938775510204081,9,4,1,False
101.115.160.0,90,5.822222222222222,8,4,1,False
101.115.168.0,47,5.8936170212765955,8,4,1,False
101.115.176.0,89,5.775280898876405,8,4,1,False
101.115.184.0,47,5.8936170212765955,8,4,1,False
101.115.192.0,90,5.777777777777778,8,4,1,False
101.115.196.0,44,5.818181818181818,8,4,1,False
101.115.200.0,90,5.777777777777778,8,4,1,False
101.115.204.0,44,5.818181818181818,8,4,1,False
101.115.224.0,97,5.907216494845361,9,4,1,False
101.115.228.0,49,5.816326530612245,8,4,1,False
101.115.232.0,98,5.918367346938775,9,4,1,False
101.115.236.0,49,5.816326530612245,8,4,1,False
101.115.24.0,49,5.857142857142857,8,4,1,False
101.115.32.0,94,6.925531914893617,9,5,1,False
101.115.40.0,47,6.851063829787234,9,5,1,False
101.115.48.0,92,6.891304347826087,9,5,1,False
101.115.56.0,47,6.851063829787234,9,5,1,False
101.115.64.0,46,5.869565217391305,8,4,1,False
101.115.72.0,46,5.869565217391305,8,4,1,False
101.115.8.0,49,5.857142857142857,8,4,1,False
101.115.80.0,95,5.947368421052632,9,4,1,False
101.115.88.0,47,5.829787234042553,8,4,1,False
101.116.0.0,84,5.785714285714286,8,4,1,False
101.116.128.0,84,5.785714285714286,8,4,1,False
101.116.160.0,44,5.795454545454546,8,4,1,False
101.116.192.0,84,5.785714285714286,8,4,1,False
101.116.224.0,44,5.795454545454546,8,4,1,False
101.116.32.0,44,5.795454545454546,8,4,1,False
101.116.64.0,84,5.785714285714286,8,4,1,False
101.116.96.0,44,5.795454545454546,8,4,1,False
101.117.0.0,90,5.844444444444444,9,4,1,False
101.117.128.0,89,5.820224719101123,8,4,1,False
101.117.160.0,44,5.795454545454546,8,4,1,False
101.117.192.0,89,5.820224719101123,8,4,1,False
101.117.224.0,44,5.795454545454546,8,4,1,False
101.117.32.0,45,5.844444444444444,9,4,1,False
101.117.64.0,89,5.820224719101123,8,4,1,False
101.117.96.0,44,5.795454545454546,8,4,1,False
101.118.0.0,82,5.804878048780488,8,4,1,False
101.118.128.0,92,5.771739130434782,8,4,1,False
101.118.160.0,50,5.78,8,4,1,False
101.118.192.0,92,5.771739130434782,8,4,1,False
101.118.224.0,50,5.78,8,4,1,False
101.118.32.0,42,5.785714285714286,8,4,1,False
101.118.64.0,82,5.804878048780488,8,4,1,False
101.118.96.0,42,5.785714285714286,8,4,1,False
101.119.112.0,40,5.85,8,4,1,False
101.119.128.0,89,5.853932584269663,8,4,1,False
101.119.144.0,40,5.85,8,4,1,False
101.119.160.0,89,5.853932584269663,8,4,1,False
101.119.176.0,40,5.85,8,4,1,False
101.119.192.0,46,6.891304347826087,9,5,1,False
101.119.239.0,45,5.777777777777778,8,4,1,False
101.119.3.0,50,5.82,8,4,1,False
101.119.56.0,41,5.780487804878049,8,4,1,False
101.119.57.0,44,5.7272727272727275,8,4,1,False
101.119.6.0,49,5.816326530612245,8,4,1,False
101.119.64.0,89,5.853932584269663,8,4,1,False
101.119.80.0,40,5.85,8,4,1,False
101.119.96.0,89,5.853932584269663,8,4,1,False
101.198.128.0,1,7.0,7,7,1,False
101.198.160.0,1,7.0,7,7,1,False
101.198.192.0,2,5.5,7,4,1,False
101.198.198.0,1,8.0,8,8,1,False
101.198.199.0,1,8.0,8,8,1,False
101.234.128.0,41,5.414634146341464,6,4,1,False
101.234.130.0,41,5.414634146341464,6,4,1,False
101.234.135.0,26,4.923076923076923,5,4,1,False
101.234.138.0,82,5.414634146341464,6,4,1,False
101.234.139.0,40,5.4,6,4,1,False
101.234.155.0,38,5.394736842105263,6,4,1,False
101.234.159.0,38,5.394736842105263,6,4,1,False
101.234.164.0,49,4.224489795918367,5,3,1,False
101.234.170.0,38,5.394736842105263,6,4,1,False
101.234.171.0,38,5.394736842105263,6,4,1,False
101.235.208.0,1,6.0,6,6,1,False
101.252.0.0,3,2.6666666666666665,4,2,1,False
101.252.169.0,3,2.6666666666666665,4,2,1,False
101.33.24.0,3,4.0,4,4,1,False
101.33.25.0,3,4.0,4,4,1,False
101.4.128.0,1,7.0,7,7,1,False
